inst#,actual,predicted,error,prediction,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
250,1:?,2:bad,,0.53,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9
251,1:?,2:bad,,0.53,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9
252,1:?,1:good,,0.78,7.4,0.27,0.28,1.8,0.04,45,121,0.99043,3.02,0.4,11.9
253,1:?,2:bad,,0.96,6.2,0.24,0.25,12.5,0.055,47,134,0.99758,3.3,0.51,9
254,1:?,2:bad,,0.53,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9
255,1:?,2:bad,,0.9,5.5,0.17,0.23,2.9,0.039,10,108,0.99243,3.28,0.5,10
256,1:?,2:bad,,0.62,6.5,0.26,0.34,1.4,0.04,25,184,0.99216,3.29,0.46,10.7
257,1:?,2:bad,,0.69,6.6,0.27,0.33,1.4,0.042,24,183,0.99215,3.29,0.46,10.7
258,1:?,1:good,,1,5.4,0.46,0.15,2.1,0.026,29,130,0.98953,3.39,0.77,13.4
259,1:?,2:bad,,0.9,5.5,0.17,0.23,2.9,0.039,10,108,0.99243,3.28,0.5,10
260,1:?,2:bad,,0.62,6.5,0.26,0.34,1.4,0.04,25,184,0.99216,3.29,0.46,10.7
261,1:?,2:bad,,0.69,6.6,0.27,0.33,1.4,0.042,24,183,0.99215,3.29,0.46,10.7
262,1:?,1:good,,0.94,6.1,0.17,0.28,2.5,0.028,22,98,0.99072,3.16,0.37,11.1
263,1:?,2:bad,,0.65,7.4,0.2,0.35,6.1,0.025,10,40,0.99244,2.79,0.52,10.9
264,1:?,1:good,,0.75,6.7,0.39,0.24,2.7,0.017,22,80,0.99084,3.03,0.37,11.5
265,1:?,1:good,,1,5.4,0.46,0.15,2.1,0.026,29,130,0.98953,3.39,0.77,13.4
266,1:?,2:bad,,0.94,6.9,0.4,0.17,12.9,0.033,59,186,0.99754,3.08,0.49,9.4
267,1:?,2:bad,,0.94,6.9,0.4,0.17,12.9,0.033,59,186,0.99754,3.08,0.49,9.4
268,1:?,2:bad,,0.94,6.9,0.4,0.17,12.9,0.033,59,186,0.99754,3.08,0.49,9.4
269,1:?,2:bad,,0.94,6.9,0.4,0.17,12.9,0.033,59,186,0.99754,3.08,0.49,9.4
270,1:?,1:good,,0.88,7.4,0.27,0.31,2.4,0.014,15,143,0.99094,3.03,0.65,12
271,1:?,1:good,,0.84,5,0.61,0.12,1.3,0.009,65,100,0.9874,3.26,0.37,13.5
272,1:?,2:bad,,0.92,6.7,0.42,0.39,12.1,0.04,61,248,0.99794,3.31,0.58,9.7
273,1:?,1:good,,0.99,6.9,0.33,0.31,7.7,0.04,29,135,0.99226,3.11,0.57,12.3
274,1:?,1:good,,0.94,6.3,0.15,0.3,1.4,0.022,38,100,0.99099,3.42,0.57,11.4
275,1:?,1:good,,0.98,6.5,0.32,0.45,7.7,0.022,31,97,0.99134,3.2,0.7,12.7
276,1:?,2:bad,,0.92,6.7,0.42,0.39,12.1,0.04,61,248,0.99794,3.31,0.58,9.7
277,1:?,2:bad,,0.99,6.4,0.27,0.45,8.3,0.05,52,196,0.9955,3.18,0.48,9.5
278,1:?,1:good,,0.78,5.6,0.19,0.31,2.7,0.027,11,100,0.98964,3.46,0.4,13.2
279,1:?,2:bad,,1,7.4,0.29,0.48,12.8,0.037,61.5,182,0.99808,3.02,0.34,8.8
280,1:?,2:bad,,1,6.4,0.34,0.44,8.2,0.043,54,201,0.99551,3.18,0.48,9.5
281,1:?,2:bad,,0.99,6.6,0.27,0.52,8.1,0.044,53,202,0.99548,3.18,0.48,9.5
282,1:?,2:bad,,0.99,6.4,0.27,0.45,8.3,0.05,52,196,0.9955,3.18,0.48,9.5
283,1:?,2:bad,,0.97,6.5,0.26,0.5,8,0.051,46,197,0.99536,3.18,0.47,9.5
284,1:?,2:bad,,0.79,5.5,0.24,0.45,1.7,0.046,22,113,0.99224,3.22,0.48,10
285,1:?,2:bad,,1,7,0.39,0.21,10.7,0.098,13,91,0.99657,3.03,0.47,9.3
286,1:?,2:bad,,0.64,7.9,0.21,0.39,2,0.057,21,138,0.99176,3.05,0.52,10.9
287,1:?,1:good,,0.6,7,0.3,0.28,2.2,0.042,21,177,0.99166,3.2,0.57,11.4
288,1:?,2:bad,,0.79,8.1,0.2,0.3,1.3,0.036,7,49,0.99242,2.99,0.73,10.3
289,1:?,2:bad,,0.64,7.9,0.21,0.39,2,0.057,21,138,0.99176,3.05,0.52,10.9
290,1:?,2:bad,,0.79,8.1,0.2,0.3,1.3,0.036,7,49,0.99242,2.99,0.73,10.3
291,1:?,2:bad,,1,7,0.39,0.21,10.7,0.098,13,91,0.99657,3.03,0.47,9.3
292,1:?,2:bad,,0.8,6.8,0.21,0.62,6.4,0.041,7,113,0.99358,2.96,0.59,10.2
293,1:?,2:bad,,0.72,6.8,0.26,0.34,15.1,0.06,42,162,0.99705,3.24,0.52,10.5
294,1:?,1:good,,0.52,7.2,0.28,0.38,2,0.052,23,156,0.9912,3.13,0.52,11.1
295,1:?,2:bad,,0.64,7.9,0.21,0.39,2,0.057,21,138,0.99176,3.05,0.52,10.9
296,1:?,1:good,,0.6,7,0.3,0.28,2.2,0.042,21,177,0.99166,3.2,0.57,11.4
297,1:?,2:bad,,0.9,7.4,0.34,0.28,12.1,0.049,31,149,0.99677,3.22,0.49,10.3
298,1:?,1:good,,0.91,6.3,0.43,0.32,8.8,0.042,18,106,0.99172,3.28,0.33,12.9
299,1:?,2:bad,,0.95,6.8,0.41,0.3,8.8,0.045,28,131,0.9953,3.12,0.59,9.9
300,1:?,2:bad,,0.55,6.3,0.3,0.2,3.7,0.039,34,132,0.99158,3,0.38,10.7
301,1:?,2:bad,,0.95,6.7,0.26,0.49,8.1,0.052,48,197,0.99558,3.19,0.48,9.5
302,1:?,1:good,,0.86,7.3,0.24,0.3,2.5,0.042,31,104,0.9911,3.05,0.56,11.3
303,1:?,2:bad,,0.51,5.1,0.23,0.18,1,0.053,13,99,0.98956,3.22,0.39,11.5
304,1:?,1:good,,0.97,7.1,0.44,0.23,5.8,0.035,24,100,0.99062,3.15,0.57,13.2
305,1:?,1:good,,0.8,4.8,0.26,0.23,10.6,0.034,23,111,0.99274,3.46,0.28,11.5
306,1:?,2:bad,,0.96,6.8,0.31,0.19,3.5,0.086,30,130,0.993,2.83,0.44,9.6
307,1:?,2:bad,,0.96,6.8,0.31,0.19,3.5,0.086,30,130,0.993,2.83,0.44,9.6
308,1:?,2:bad,,0.98,6.5,0.41,0.22,4.8,0.052,49,142,0.9946,3.14,0.62,9.2
309,1:?,2:bad,,0.98,6.2,0.31,0.23,3.3,0.052,34,113,0.99429,3.16,0.48,8.4
310,1:?,2:bad,,0.98,6.5,0.41,0.22,4.8,0.052,49,142,0.9946,3.14,0.62,9.2
311,1:?,2:bad,,0.98,6.2,0.31,0.23,3.3,0.052,34,113,0.99429,3.16,0.48,8.4
312,1:?,1:good,,0.98,7.5,0.34,0.28,4,0.028,46,100,0.98958,3.2,0.5,13.2
313,1:?,2:bad,,0.94,6.4,0.32,0.23,16.2,0.055,36,176,0.9986,3.26,0.54,9.1
314,1:?,2:bad,,0.94,6.4,0.32,0.23,16.2,0.055,36,176,0.9986,3.26,0.54,9.1
315,1:?,2:bad,,0.9,8.2,0.31,0.43,7,0.047,18,87,0.99628,3.23,0.64,10.6
316,1:?,1:good,,0.95,5.9,0.17,0.29,3.1,0.03,32,123,0.98913,3.41,0.33,13.7
317,1:?,1:good,,0.96,6.6,0.32,0.26,4.6,0.031,26,120,0.99198,3.4,0.73,12.5
318,1:?,2:bad,,0.94,7.3,0.25,0.26,7.2,0.048,52,207,0.99587,3.12,0.37,9.2
319,1:?,2:bad,,0.94,7.3,0.25,0.26,7.2,0.048,52,207,0.99587,3.12,0.37,9.2
320,1:?,1:good,,0.95,6.6,0.39,0.22,4,0.038,17,98,0.99018,3.25,0.53,13
321,1:?,2:bad,,0.94,7.3,0.25,0.26,7.2,0.048,52,207,0.99587,3.12,0.37,9.2
322,1:?,2:bad,,0.96,7.3,0.36,0.54,13.3,0.054,63,193,0.99864,3.06,0.49,8.6
323,1:?,2:bad,,0.99,7.6,0.37,0.51,11.7,0.094,58,181,0.99776,2.91,0.51,9
324,1:?,2:bad,,0.95,6.7,0.26,0.51,8,0.062,50,194,0.99545,3.13,0.5,9.6
325,1:?,1:good,,0.53,7.4,0.22,0.27,1.6,0.057,45,98,0.99299,3.29,0.44,9.9
326,1:?,2:bad,,0.87,6.1,0.22,0.28,16.55,0.059,54,135,0.99665,3.2,0.38,10.5
327,1:?,1:good,,0.65,7.1,0.28,0.31,1.5,0.053,20,98,0.99069,3.15,0.5,11.4
328,1:?,2:bad,,0.98,6.5,0.35,0.31,10.2,0.069,58,170,0.99692,3.18,0.49,9.4
329,1:?,2:bad,,0.7,6.8,0.73,0.2,6.6,0.054,25,65,0.99324,3.12,0.28,11.1
330,1:?,2:bad,,0.51,7.1,0.2,0.37,1.5,0.049,28,129,0.99226,3.15,0.52,10.8
331,1:?,2:bad,,0.51,7.1,0.2,0.37,1.5,0.049,28,129,0.99226,3.15,0.52,10.8
332,1:?,2:bad,,0.66,6,0.21,0.3,8.7,0.036,47,127,0.99368,3.18,0.39,10.6
333,1:?,2:bad,,1,7,0.34,0.1,3.5,0.044,17,63,0.9937,3.01,0.39,9.2
334,1:?,1:good,,0.52,8.5,0.23,0.34,1.3,0.035,54,110,0.99176,3.07,0.55,11
335,1:?,2:bad,,0.66,6,0.21,0.3,8.7,0.036,47,127,0.99368,3.18,0.39,10.6
336,1:?,2:bad,,1,7,0.34,0.1,3.5,0.044,17,63,0.9937,3.01,0.39,9.2
337,1:?,2:bad,,0.67,4.8,0.65,0.12,1.1,0.013,4,10,0.99246,3.32,0.36,13.5
338,1:?,1:good,,0.96,5,0.455,0.18,1.9,0.036,33,106,0.98746,3.21,0.83,14
339,1:?,1:good,,0.99,6.5,0.33,0.3,3.8,0.036,34,88,0.99028,3.25,0.63,12.5
340,1:?,1:good,,0.99,6.5,0.33,0.3,3.8,0.036,34,88,0.99028,3.25,0.63,12.5
341,1:?,1:good,,0.93,6.7,0.31,0.3,2.4,0.038,30,83,0.98867,3.09,0.36,12.8
342,1:?,1:good,,0.78,6.2,0.39,0.24,4.8,0.037,45,138,0.99174,3.23,0.43,11.2
343,1:?,1:good,,0.78,6.2,0.39,0.24,4.8,0.037,45,138,0.99174,3.23,0.43,11.2
344,1:?,1:good,,0.99,6.5,0.33,0.3,3.8,0.036,34,88,0.99028,3.25,0.63,12.5
345,1:?,1:good,,0.78,6.2,0.39,0.24,4.8,0.037,45,138,0.99174,3.23,0.43,11.2
346,1:?,1:good,,0.96,4.7,0.455,0.18,1.9,0.036,33,106,0.98746,3.21,0.83,14
347,1:?,2:bad,,0.98,6.2,0.28,0.51,7.9,0.056,49,206,0.9956,3.18,0.52,9.4
348,1:?,1:good,,0.92,6.4,0.35,0.28,1.6,0.037,31,113,0.98779,3.12,0.4,14.2
349,1:?,2:bad,,0.86,7.3,0.36,0.34,14.8,0.057,46,173,0.99751,3.14,0.57,10.2
350,1:?,1:good,,0.93,6.7,0.31,0.3,2.4,0.038,30,83,0.98867,3.09,0.36,12.8
351,1:?,2:bad,,0.99,8.6,0.31,0.3,0.9,0.045,16,109,0.99249,2.95,0.39,10.1
352,1:?,2:bad,,0.99,8.6,0.31,0.3,0.9,0.045,16,109,0.99249,2.95,0.39,10.1
353,1:?,2:bad,,0.59,8.6,0.22,0.33,1.2,0.031,38,95,0.99239,2.83,0.31,10.3
354,1:?,1:good,,0.77,6.5,0.22,0.31,3.9,0.046,17,106,0.99098,3.15,0.31,11.5
355,1:?,2:bad,,0.94,6.6,0.32,0.47,15.6,0.063,27,173,0.99872,3.18,0.56,9
356,1:?,2:bad,,0.94,6.6,0.32,0.47,15.6,0.063,27,173,0.99872,3.18,0.56,9
357,1:?,1:good,,0.84,6.9,0.22,0.28,7.8,0.05,43,116,0.99326,3.22,0.6,11.5
358,1:?,2:bad,,0.66,8.7,0.31,0.21,5.6,0.039,28,67,0.99328,2.96,0.52,11
359,1:?,2:bad,,0.99,7,0.46,0.2,16.7,0.046,50,184,0.99898,3.08,0.56,9.4
360,1:?,2:bad,,0.97,6.5,0.36,0.36,6.7,0.185,51.5,151,0.99528,3.17,0.42,9.3
361,1:?,2:bad,,1,6.9,0.4,0.37,8.9,0.053,36,148,0.996,3.16,0.5,9.3
362,1:?,2:bad,,0.9,4.9,0.345,0.34,1,0.068,32,143,0.99138,3.24,0.4,10.1
363,1:?,1:good,,0.96,6.1,0.3,0.32,2.2,0.042,41,142,0.98952,3.31,0.44,12.7
364,1:?,2:bad,,0.82,5.7,0.14,0.3,5.4,0.045,26,105,0.99469,3.32,0.45,9.3
365,1:?,2:bad,,1,6.9,0.4,0.37,8.9,0.053,36,148,0.996,3.16,0.5,9.3
366,1:?,2:bad,,0.9,4.9,0.345,0.34,1,0.068,32,143,0.99138,3.24,0.4,10.1
367,1:?,2:bad,,1,6.3,0.33,0.2,17.9,0.066,36,161,0.9991,3.14,0.51,8.8
368,1:?,1:good,,0.51,8.4,0.22,0.3,1.3,0.038,45,122,0.99178,3.13,0.54,10.8
369,1:?,2:bad,,1,6.3,0.33,0.2,17.9,0.066,36,161,0.9991,3.14,0.51,8.8
370,1:?,2:bad,,0.85,5.4,0.24,0.18,2.3,0.05,22,145,0.99207,3.24,0.46,10.3
371,1:?,1:good,,0.83,7.7,0.31,0.36,4.3,0.026,15,87,0.99152,3.11,0.48,12
372,1:?,2:bad,,1,7.6,0.39,0.46,11.7,0.084,55,170,0.99773,2.91,0.51,9
373,1:?,1:good,,0.88,7.2,0.58,0.27,5.8,0.032,40,118,0.99088,3.17,0.53,13
374,1:?,1:good,,0.83,6,0.34,0.32,3.8,0.044,13,116,0.99108,3.39,0.44,11.8
375,1:?,2:bad,,0.98,7.5,0.35,0.48,12.4,0.056,61,176.5,0.99803,2.97,0.52,8.8
376,1:?,2:bad,,0.6,7.3,0.38,0.23,6.5,0.05,18,102,0.99304,3.1,0.55,11.2
377,1:?,2:bad,,0.97,6.3,0.27,0.51,7.6,0.049,35,200,0.99548,3.16,0.54,9.4
378,1:?,1:good,,0.58,6.7,0.18,0.31,10.6,0.035,42,143,0.99572,3.08,0.49,9.8
379,1:?,2:bad,,0.97,6.3,0.27,0.51,7.6,0.049,35,200,0.99548,3.16,0.54,9.4
380,1:?,1:good,,0.89,6.1,0.24,0.26,1.7,0.033,61,134,0.9903,3.19,0.81,11.9
381,1:?,1:good,,0.96,7,0.32,0.29,7.6,0.025,35,124,0.99162,3.15,0.65,12.8
382,1:?,2:bad,,0.63,6.5,0.29,0.53,1.7,0.04,41,192,0.9922,3.26,0.59,10.4
383,1:?,2:bad,,0.61,6.1,0.22,0.25,12.1,0.035,54,135,0.99481,3.21,0.4,10.7
384,1:?,1:good,,0.54,6.3,0.22,0.27,4.5,0.036,81,157,0.9928,3.05,0.76,10.7
385,1:?,1:good,,0.89,6.1,0.24,0.26,1.7,0.033,61,134,0.9903,3.19,0.81,11.9
386,1:?,1:good,,0.96,7,0.32,0.29,7.6,0.025,35,124,0.99162,3.15,0.65,12.8
387,1:?,2:bad,,0.67,6.9,0.2,0.41,1.1,0.06,36,104,0.99317,2.99,0.39,9.2
388,1:?,1:good,,0.56,6.7,0.19,0.32,3.7,0.041,26,76,0.99173,2.9,0.57,10.5
389,1:?,1:good,,0.8,6.7,0.28,0.34,8.9,0.048,32,111,0.99455,3.25,0.54,11
390,1:?,1:good,,0.8,6.7,0.28,0.34,8.9,0.048,32,111,0.99455,3.25,0.54,11
391,1:?,2:bad,,0.64,8,0.37,0.31,4.7,0.038,3,127,0.99186,2.9,0.72,12.1
392,1:?,1:good,,0.8,6.7,0.28,0.34,8.9,0.048,32,111,0.99455,3.25,0.54,11
393,1:?,1:good,,0.92,6,0.26,0.29,3.1,0.041,37,144,0.98944,3.22,0.39,12.8
394,1:?,2:bad,,0.84,6.4,0.25,0.57,1,0.062,21,122,0.99238,3,0.4,9.5
395,1:?,1:good,,0.95,6.5,0.38,0.26,5.2,0.042,33,112,0.99067,3.06,0.5,12.3
396,1:?,2:bad,,0.84,6.4,0.25,0.57,1,0.062,21,122,0.99238,3,0.4,9.5
397,1:?,1:good,,0.92,6,0.26,0.29,3.1,0.041,37,144,0.98944,3.22,0.39,12.8
398,1:?,2:bad,,0.99,6.2,0.32,0.12,4.8,0.054,6,97,0.99424,3.16,0.5,9.3
399,1:?,2:bad,,0.99,7.2,0.4,0.24,8.5,0.055,45,151,0.99626,3.2,0.52,9.2
400,1:?,2:bad,,0.99,6.2,0.32,0.12,4.8,0.054,6,97,0.99424,3.16,0.5,9.3
401,1:?,2:bad,,0.98,6.4,0.37,0.12,5.9,0.056,6,91,0.99536,3.06,0.46,8.4
402,1:?,2:bad,,0.79,7,0.23,0.42,1.1,0.062,35,100,0.99318,3.04,0.4,9.2
403,1:?,2:bad,,0.99,7.2,0.4,0.24,8.5,0.055,45,151,0.99626,3.2,0.52,9.2
404,1:?,2:bad,,0.88,6.4,0.26,0.26,1.1,0.052,22,176,0.99304,3.09,0.54,9.3
405,1:?,1:good,,0.68,6.9,0.19,0.38,1.15,0.023,30,105,0.99047,3.11,0.38,11.4
406,1:?,2:bad,,0.92,6.4,0.29,0.57,1,0.06,15,120,0.9924,3.06,0.41,9.5
407,1:?,2:bad,,0.94,6.8,0.27,0.22,17.8,0.034,16,116,0.9989,3.07,0.53,9.2
408,1:?,2:bad,,0.94,6.8,0.27,0.22,17.8,0.034,16,116,0.9989,3.07,0.53,9.2
409,1:?,2:bad,,1,7.3,0.33,0.22,1.4,0.041,40,177,0.99287,3.14,0.48,9.9
410,1:?,2:bad,,1,7.3,0.34,0.22,1.4,0.044,43,176,0.99286,3.14,0.46,9.9
411,1:?,2:bad,,0.92,6.4,0.29,0.57,1,0.06,15,120,0.9924,3.06,0.41,9.5
412,1:?,2:bad,,0.51,6.1,1.1,0.16,4.4,0.033,8,109,0.99058,3.35,0.47,12.4
413,1:?,2:bad,,0.64,6.3,0.24,0.29,1.6,0.052,48,185,0.9934,3.21,0.5,9.4
414,1:?,2:bad,,0.95,6.2,0.24,0.22,7.9,0.053,45,149,0.99545,3.23,0.52,9.3
415,1:?,2:bad,,0.63,7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7
416,1:?,2:bad,,0.63,7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7
417,1:?,2:bad,,0.63,7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7
418,1:?,2:bad,,0.63,7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7
419,1:?,2:bad,,0.57,7.2,0.17,0.28,17.55,0.05,33,154,0.99971,2.94,0.43,9
420,1:?,2:bad,,0.63,7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7
421,1:?,2:bad,,0.95,6.2,0.24,0.22,7.9,0.053,45,149,0.99545,3.23,0.52,9.3
422,1:?,2:bad,,0.63,7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7
423,1:?,2:bad,,0.57,7.2,0.17,0.28,17.55,0.05,33,154,0.99971,2.94,0.43,9
424,1:?,2:bad,,0.71,6.5,0.43,0.18,13.15,0.032,25,131,0.99565,3.23,0.51,10.7
425,1:?,2:bad,,1,6.4,0.41,0.01,6.1,0.048,20,70,0.99362,3.19,0.42,10
426,1:?,2:bad,,1,6.4,0.41,0.01,6.1,0.048,20,70,0.99362,3.19,0.42,10
427,1:?,2:bad,,0.76,6.1,0.17,0.21,1.9,0.09,44,130,0.99255,3.07,0.41,9.7
428,1:?,1:good,,0.89,5.5,0.28,0.21,1.6,0.032,23,85,0.99027,3.42,0.42,12.5
429,1:?,1:good,,0.93,6.6,0.5,0.26,11.3,0.029,32,110,0.99302,3.27,0.78,12.9
430,1:?,2:bad,,0.87,6.9,0.38,0.28,8.3,0.062,22,166,0.99506,3.16,0.72,10.6
431,1:?,2:bad,,0.94,6.1,0.28,0.27,8,0.048,41,162,0.99498,3.21,0.51,9.9
432,1:?,1:good,,0.63,7.5,0.16,0.38,12.7,0.043,70.5,163,0.99706,3.15,0.82,10.4
433,1:?,2:bad,,0.99,6.5,0.36,0.16,1.3,0.054,11,107,0.99398,3.19,0.39,8.5
434,1:?,2:bad,,0.98,6.6,0.35,0.19,10.5,0.06,15,82,0.99588,3.13,0.38,9.9
435,1:?,2:bad,,0.89,7.4,0.37,0.26,9.6,0.05,33,134,0.99608,3.13,0.46,10.4
436,1:?,2:bad,,0.95,6.2,0.3,0.32,1.2,0.052,32,185,0.99266,3.28,0.44,10.1
437,1:?,1:good,,0.51,6.5,0.33,0.24,14.5,0.048,20,96,0.99456,3.06,0.3,11.5
438,1:?,1:good,,0.98,6.4,0.25,0.28,4.9,0.03,29,98,0.99024,3.09,0.58,12.8
439,1:?,2:bad,,0.87,8,0.25,0.35,1.1,0.054,13,136,0.99366,3.08,0.55,9.5
440,1:?,1:good,,0.72,6.6,0.21,0.34,5.6,0.046,30,140,0.99299,3.22,0.38,11
441,1:?,2:bad,,1,6.9,0.37,0.23,9.5,0.057,54,166,0.99568,3.23,0.42,10
442,1:?,2:bad,,1,6.9,0.37,0.23,9.5,0.057,54,166,0.99568,3.23,0.42,10
443,1:?,1:good,,0.89,5.7,0.31,0.28,4.1,0.03,22,86,0.99062,3.31,0.38,11.7
444,1:?,1:good,,0.75,6.9,0.45,0.27,4.7,0.035,17,80,0.99058,3.12,0.36,12.5
445,1:?,1:good,,0.7,6.9,0.3,0.45,1.4,0.039,36,122,0.99059,3.07,0.47,11.1
446,1:?,2:bad,,0.62,5.3,0.23,0.56,0.9,0.041,46,141,0.99119,3.16,0.62,9.7
447,1:?,2:bad,,0.71,7.6,0.4,0.27,1.2,0.053,23,193,0.99164,3.22,0.38,11.6
448,1:?,1:good,,0.79,6.5,0.43,0.31,3.6,0.046,19,143,0.99022,3.15,0.34,12
449,1:?,1:good,,0.84,6.5,0.4,0.31,3.5,0.046,22,147,0.99024,3.15,0.31,12
450,1:?,2:bad,,0.94,7.4,0.28,0.5,12.1,0.049,48,122,0.9973,3.01,0.44,9
451,1:?,1:good,,0.84,6,0.13,0.36,1.6,0.052,23,72,0.98974,3.1,0.5,11.5
452,1:?,2:bad,,0.66,6.3,0.17,0.23,5.7,0.048,44,147,0.99382,3.08,0.54,10
453,1:?,2:bad,,0.74,6.3,0.18,0.22,5.6,0.047,45,147,0.99383,3.09,0.54,10
454,1:?,2:bad,,0.9,6.7,0.31,0.34,6.8,0.059,51,215,0.99538,3.33,0.56,10.3
455,1:?,2:bad,,0.94,6.6,0.33,0.32,15.6,0.054,62,227,0.99734,3.25,0.56,10.4
456,1:?,1:good,,0.8,6.3,0.34,0.31,6,0.02,18,68,0.98981,3.22,0.29,13.4
457,1:?,2:bad,,0.99,7.4,0.31,0.26,8.6,0.048,47,206,0.9964,3.26,0.36,9.1
458,1:?,2:bad,,0.99,7.4,0.31,0.26,8.6,0.048,47,206,0.9964,3.26,0.36,9.1
459,1:?,1:good,,0.71,5.9,0.26,0.24,2.4,0.046,27,132,0.99234,3.63,0.73,11.3
460,1:?,2:bad,,0.99,7.4,0.31,0.26,8.6,0.048,47,206,0.9964,3.26,0.36,9.1
461,1:?,1:good,,0.84,6.8,0.18,0.35,5.4,0.054,53,143,0.99287,3.1,0.54,11
462,1:?,2:bad,,0.56,7.1,0.13,0.29,15.5,0.064,56,115.5,0.99737,3.16,0.41,9.7
463,1:?,1:good,,0.84,6.8,0.18,0.35,5.4,0.054,53,143,0.99287,3.1,0.54,11
464,1:?,1:good,,0.68,5.8,0.24,0.28,1.4,0.038,40,76,0.98711,3.1,0.29,13.9
465,1:?,2:bad,,0.98,7.6,0.48,0.31,9.4,0.046,6,194,0.99714,3.07,0.61,9.4
466,1:?,2:bad,,0.94,6.1,0.3,0.47,1.4,0.049,50,187,0.9927,3.19,0.45,9.5
467,1:?,2:bad,,0.99,6.2,0.32,0.5,6.5,0.048,61,186,0.9948,3.19,0.45,9.6
468,1:?,2:bad,,0.94,6.1,0.3,0.47,1.4,0.049,50,187,0.9927,3.19,0.45,9.5
469,1:?,2:bad,,0.99,6.3,0.34,0.52,6.3,0.047,63,186,0.99481,3.18,0.44,9.6
470,1:?,1:good,,0.61,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7
471,1:?,1:good,,0.61,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7
472,1:?,1:good,,0.61,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7
473,1:?,1:good,,0.61,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7
474,1:?,1:good,,0.61,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7
475,1:?,1:good,,0.61,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7
476,1:?,2:bad,,0.82,7.2,0.26,0.38,1.5,0.061,12,120,0.99192,3.18,0.46,10.4
477,1:?,2:bad,,0.72,7,0.31,0.35,1.6,0.063,13,119,0.99184,3.22,0.5,10.7
478,1:?,1:good,,0.79,6.6,0.22,0.35,1.4,0.05,23,83,0.99019,3.17,0.48,12
479,1:?,1:good,,0.86,5.8,0.23,0.31,3.5,0.044,35,158,0.98998,3.19,0.37,12.1
480,1:?,1:good,,0.82,6.3,0.17,0.32,1,0.04,39,118,0.98886,3.31,0.4,13.1
481,1:?,1:good,,0.98,6.7,0.21,0.34,1.5,0.035,45,123,0.98949,3.24,0.36,12.6
482,1:?,1:good,,0.61,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7
483,1:?,1:good,,0.9,6.6,0.22,0.37,1.6,0.04,31,101,0.99009,3.15,0.66,12
484,1:?,2:bad,,0.98,7.1,0.34,0.86,1.4,0.174,36,99,0.99288,2.92,0.5,9.3
485,1:?,1:good,,0.69,6.9,0.35,0.39,2.4,0.048,25,157,0.99133,3.2,0.54,11.1
486,1:?,1:good,,0.83,5.8,0.19,0.33,4.2,0.038,49,133,0.99107,3.16,0.42,11.3
487,1:?,2:bad,,0.68,6.9,0.24,0.4,15.4,0.052,81,198,0.9986,3.2,0.69,9.4
488,1:?,1:good,,0.93,6.2,0.3,0.3,2.5,0.041,29,82,0.99065,3.31,0.61,11.8
489,1:?,1:good,,0.95,6.4,0.33,0.28,4,0.04,24,81,0.9903,3.26,0.64,12.6
490,1:?,2:bad,,0.68,6.9,0.24,0.4,15.4,0.052,81,198,0.9986,3.2,0.69,9.4
491,1:?,2:bad,,0.79,7.6,0.27,0.32,1.2,0.043,23,72,0.99236,3.06,0.68,10.5
492,1:?,2:bad,,0.96,6.4,0.21,0.21,5.1,0.097,21,105,0.9939,3.07,0.46,9.6
493,1:?,1:good,,0.57,7.8,0.27,0.35,1.2,0.05,36,140,0.99138,3.09,0.45,11.2
494,1:?,1:good,,0.74,7.1,0.45,0.24,2.7,0.04,24,87,0.98862,2.94,0.38,13.4
495,1:?,2:bad,,0.93,6.3,0.3,0.48,7.4,0.053,34,149,0.99472,3.18,0.53,9.8
496,1:?,2:bad,,0.97,7.9,0.36,0.53,12.9,0.049,63,139,0.99792,2.94,0.45,9.1
497,1:?,2:bad,,0.92,6.2,0.3,0.32,1.3,0.054,27,183,0.99266,3.3,0.43,10.1
498,1:?,1:good,,0.79,6.1,0.25,0.3,1.2,0.036,42,107,0.991,3.34,0.56,10.8
