@relation data

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute class {#,##,###,####,#####,######,#######,########,#########,##########,###########,############,#############,##############,###############,################,#################,##################,###################,####################,#####################,######################,#######################,########################,#########################,##########################,###########################,############################,#############################,##############################,###############################,################################,#################################,##################################,###################################,####################################,#####################################,######################################,#######################################,########################################,#########################################,##########################################,###########################################,############################################,#############################################,##############################################,###############################################,################################################,#################################################,##################################################,###################################################,####################################################,#####################################################,######################################################,#######################################################,########################################################,#########################################################,##########################################################,###########################################################,############################################################,#############################################################,##############################################################,###############################################################,################################################################,#################################################################,##################################################################,###################################################################,####################################################################,#####################################################################,######################################################################,#######################################################################,########################################################################,#########################################################################,##########################################################################,###########################################################################,############################################################################,#############################################################################,##############################################################################,###############################################################################,################################################################################,#################################################################################,##################################################################################,###################################################################################,####################################################################################,#####################################################################################,######################################################################################,#######################################################################################,########################################################################################,#########################################################################################,##########################################################################################,###########################################################################################,############################################################################################,#############################################################################################,##############################################################################################,###############################################################################################,################################################################################################,#################################################################################################,##################################################################################################,###################################################################################################,####################################################################################################}

@data
39000,39000,39000,39010,39000,39000,39000,39000,39000,39000,#######################################
39000,39000,39000,39000,39010,39000,39000,39000,39000,39000,#######################################
39000,39000,39000,39000,39000,39010,39000,39000,39000,39000,#######################################
39000,39000,39000,39000,39000,39000,39010,39000,39000,39000,#######################################
39000,39000,39000,39000,39000,39000,39000,39010,39000,39000,#######################################
39000,39000,39000,39000,39000,39000,39000,39000,39010,39000,#######################################
39000,39000,39000,39000,39000,39000,39000,39000,39000,39010,#######################################
40010,40000,40000,40000,40000,40000,40000,40000,40000,40000,########################################
40000,40010,40000,40000,40000,40000,40000,40000,40000,40000,########################################
40000,40000,40010,40000,40000,40000,40000,40000,40000,40000,########################################
40000,40000,40000,40010,40000,40000,40000,40000,40000,40000,########################################
40000,40000,40000,40000,40010,40000,40000,40000,40000,40000,########################################
40000,40000,40000,40000,40000,40010,40000,40000,40000,40000,########################################
40000,40000,40000,40000,40000,40000,40010,40000,40000,40000,########################################
40000,40000,40000,40000,40000,40000,40000,40010,40000,40000,########################################
40000,40000,40000,40000,40000,40000,40000,40000,40010,40000,########################################
40000,40000,40000,40000,40000,40000,40000,40000,40000,40010,########################################
41010,41000,41000,41000,41000,41000,41000,41000,41000,41000,#########################################
41000,41010,41000,41000,41000,41000,41000,41000,41000,41000,#########################################
41000,41000,41010,41000,41000,41000,41000,41000,41000,41000,#########################################
41000,41000,41000,41010,41000,41000,41000,41000,41000,41000,#########################################
41000,41000,41000,41000,41010,41000,41000,41000,41000,41000,#########################################
41000,41000,41000,41000,41000,41010,41000,41000,41000,41000,#########################################
41000,41000,41000,41000,41000,41000,41010,41000,41000,41000,#########################################
41000,41000,41000,41000,41000,41000,41000,41010,41000,41000,#########################################
41000,41000,41000,41000,41000,41000,41000,41000,41010,41000,#########################################
41000,41000,41000,41000,41000,41000,41000,41000,41000,41010,#########################################
42010,42000,42000,42000,42000,42000,42000,42000,42000,42000,##########################################
42000,42010,42000,42000,42000,42000,42000,42000,42000,42000,##########################################
42000,42000,42010,42000,42000,42000,42000,42000,42000,42000,##########################################
42000,42000,42000,42010,42000,42000,42000,42000,42000,42000,##########################################
42000,42000,42000,42000,42010,42000,42000,42000,42000,42000,##########################################
42000,42000,42000,42000,42000,42010,42000,42000,42000,42000,##########################################
42000,42000,42000,42000,42000,42000,42010,42000,42000,42000,##########################################
42000,42000,42000,42000,42000,42000,42000,42010,42000,42000,##########################################
42000,42000,42000,42000,42000,42000,42000,42000,42010,42000,##########################################
42000,42000,42000,42000,42000,42000,42000,42000,42000,42010,##########################################
43010,43000,43000,43000,43000,43000,43000,43000,43000,43000,###########################################
43000,43010,43000,43000,43000,43000,43000,43000,43000,43000,###########################################
43000,43000,43010,43000,43000,43000,43000,43000,43000,43000,###########################################
43000,43000,43000,43010,43000,43000,43000,43000,43000,43000,###########################################
43000,43000,43000,43000,43010,43000,43000,43000,43000,43000,###########################################
43000,43000,43000,43000,43000,43010,43000,43000,43000,43000,###########################################
43000,43000,43000,43000,43000,43000,43010,43000,43000,43000,###########################################
43000,43000,43000,43000,43000,43000,43000,43010,43000,43000,###########################################
43000,43000,43000,43000,43000,43000,43000,43000,43010,43000,###########################################
43000,43000,43000,43000,43000,43000,43000,43000,43000,43010,###########################################
44010,44000,44000,44000,44000,44000,44000,44000,44000,44000,############################################
44000,44010,44000,44000,44000,44000,44000,44000,44000,44000,############################################
44000,44000,44010,44000,44000,44000,44000,44000,44000,44000,############################################
44000,44000,44000,44010,44000,44000,44000,44000,44000,44000,############################################
44000,44000,44000,44000,44010,44000,44000,44000,44000,44000,############################################
44000,44000,44000,44000,44000,44010,44000,44000,44000,44000,############################################
44000,44000,44000,44000,44000,44000,44010,44000,44000,44000,############################################
44000,44000,44000,44000,44000,44000,44000,44010,44000,44000,############################################
44000,44000,44000,44000,44000,44000,44000,44000,44010,44000,############################################
44000,44000,44000,44000,44000,44000,44000,44000,44000,44010,############################################
45010,45000,45000,45000,45000,45000,45000,45000,45000,45000,#############################################
45000,45010,45000,45000,45000,45000,45000,45000,45000,45000,#############################################
45000,45000,45010,45000,45000,45000,45000,45000,45000,45000,#############################################
45000,45000,45000,45010,45000,45000,45000,45000,45000,45000,#############################################
45000,45000,45000,45000,45010,45000,45000,45000,45000,45000,#############################################
45000,45000,45000,45000,45000,45010,45000,45000,45000,45000,#############################################
45000,45000,45000,45000,45000,45000,45010,45000,45000,45000,#############################################
45000,45000,45000,45000,45000,45000,45000,45010,45000,45000,#############################################
45000,45000,45000,45000,45000,45000,45000,45000,45010,45000,#############################################
45000,45000,45000,45000,45000,45000,45000,45000,45000,45010,#############################################
46010,46000,46000,46000,46000,46000,46000,46000,46000,46000,##############################################
46000,46010,46000,46000,46000,46000,46000,46000,46000,46000,##############################################
46000,46000,46010,46000,46000,46000,46000,46000,46000,46000,##############################################
46000,46000,46000,46010,46000,46000,46000,46000,46000,46000,##############################################
46000,46000,46000,46000,46010,46000,46000,46000,46000,46000,##############################################
46000,46000,46000,46000,46000,46010,46000,46000,46000,46000,##############################################
46000,46000,46000,46000,46000,46000,46010,46000,46000,46000,##############################################
46000,46000,46000,46000,46000,46000,46000,46010,46000,46000,##############################################
46000,46000,46000,46000,46000,46000,46000,46000,46010,46000,##############################################
46000,46000,46000,46000,46000,46000,46000,46000,46000,46010,##############################################
47010,47000,47000,47000,47000,47000,47000,47000,47000,47000,###############################################
47000,47010,47000,47000,47000,47000,47000,47000,47000,47000,###############################################
47000,47000,47010,47000,47000,47000,47000,47000,47000,47000,###############################################
47000,47000,47000,47010,47000,47000,47000,47000,47000,47000,###############################################
47000,47000,47000,47000,47010,47000,47000,47000,47000,47000,###############################################
47000,47000,47000,47000,47000,47010,47000,47000,47000,47000,###############################################
47000,47000,47000,47000,47000,47000,47010,47000,47000,47000,###############################################
47000,47000,47000,47000,47000,47000,47000,47010,47000,47000,###############################################
47000,47000,47000,47000,47000,47000,47000,47000,47010,47000,###############################################
47000,47000,47000,47000,47000,47000,47000,47000,47000,47010,###############################################
48010,48000,48000,48000,48000,48000,48000,48000,48000,48000,################################################
48000,48010,48000,48000,48000,48000,48000,48000,48000,48000,################################################
48000,48000,48010,48000,48000,48000,48000,48000,48000,48000,################################################
48000,48000,48000,48010,48000,48000,48000,48000,48000,48000,################################################
48000,48000,48000,48000,48010,48000,48000,48000,48000,48000,################################################
48000,48000,48000,48000,48000,48010,48000,48000,48000,48000,################################################
48000,48000,48000,48000,48000,48000,48010,48000,48000,48000,################################################
48000,48000,48000,48000,48000,48000,48000,48010,48000,48000,################################################
48000,48000,48000,48000,48000,48000,48000,48000,48010,48000,################################################
48000,48000,48000,48000,48000,48000,48000,48000,48000,48010,################################################
49010,49000,49000,49000,49000,49000,49000,49000,49000,49000,#################################################
49000,49010,49000,49000,49000,49000,49000,49000,49000,49000,#################################################
49000,49000,49010,49000,49000,49000,49000,49000,49000,49000,#################################################
49000,49000,49000,49010,49000,49000,49000,49000,49000,49000,#################################################
49000,49000,49000,49000,49010,49000,49000,49000,49000,49000,#################################################
49000,49000,49000,49000,49000,49010,49000,49000,49000,49000,#################################################
49000,49000,49000,49000,49000,49000,49010,49000,49000,49000,#################################################
49000,49000,49000,49000,49000,49000,49000,49010,49000,49000,#################################################
49000,49000,49000,49000,49000,49000,49000,49000,49010,49000,#################################################
49000,49000,49000,49000,49000,49000,49000,49000,49000,49010,#################################################
50010,50000,50000,50000,50000,50000,50000,50000,50000,50000,##################################################
50000,50010,50000,50000,50000,50000,50000,50000,50000,50000,##################################################
50000,50000,50010,50000,50000,50000,50000,50000,50000,50000,##################################################
50000,50000,50000,50010,50000,50000,50000,50000,50000,50000,##################################################
50000,50000,50000,50000,50010,50000,50000,50000,50000,50000,##################################################
50000,50000,50000,50000,50000,50010,50000,50000,50000,50000,##################################################
50000,50000,50000,50000,50000,50000,50010,50000,50000,50000,##################################################
50000,50000,50000,50000,50000,50000,50000,50010,50000,50000,##################################################
50000,50000,50000,50000,50000,50000,50000,50000,50010,50000,##################################################
50000,50000,50000,50000,50000,50000,50000,50000,50000,50010,##################################################
51010,51000,51000,51000,51000,51000,51000,51000,51000,51000,###################################################
51000,51010,51000,51000,51000,51000,51000,51000,51000,51000,###################################################
51000,51000,51010,51000,51000,51000,51000,51000,51000,51000,###################################################
51000,51000,51000,51010,51000,51000,51000,51000,51000,51000,###################################################
51000,51000,51000,51000,51010,51000,51000,51000,51000,51000,###################################################
51000,51000,51000,51000,51000,51010,51000,51000,51000,51000,###################################################
51000,51000,51000,51000,51000,51000,51010,51000,51000,51000,###################################################
51000,51000,51000,51000,51000,51000,51000,51010,51000,51000,###################################################
51000,51000,51000,51000,51000,51000,51000,51000,51010,51000,###################################################
51000,51000,51000,51000,51000,51000,51000,51000,51000,51010,###################################################
52010,52000,52000,52000,52000,52000,52000,52000,52000,52000,####################################################
52000,52010,52000,52000,52000,52000,52000,52000,52000,52000,####################################################
52000,52000,52010,52000,52000,52000,52000,52000,52000,52000,####################################################
52000,52000,52000,52010,52000,52000,52000,52000,52000,52000,####################################################
52000,52000,52000,52000,52010,52000,52000,52000,52000,52000,####################################################
52000,52000,52000,52000,52000,52010,52000,52000,52000,52000,####################################################
52000,52000,52000,52000,52000,52000,52010,52000,52000,52000,####################################################
52000,52000,52000,52000,52000,52000,52000,52010,52000,52000,####################################################
52000,52000,52000,52000,52000,52000,52000,52000,52010,52000,####################################################
52000,52000,52000,52000,52000,52000,52000,52000,52000,52010,####################################################
53010,53000,53000,53000,53000,53000,53000,53000,53000,53000,#####################################################
53000,53010,53000,53000,53000,53000,53000,53000,53000,53000,#####################################################
53000,53000,53010,53000,53000,53000,53000,53000,53000,53000,#####################################################
53000,53000,53000,53010,53000,53000,53000,53000,53000,53000,#####################################################
53000,53000,53000,53000,53010,53000,53000,53000,53000,53000,#####################################################
53000,53000,53000,53000,53000,53010,53000,53000,53000,53000,#####################################################
53000,53000,53000,53000,53000,53000,53010,53000,53000,53000,#####################################################
53000,53000,53000,53000,53000,53000,53000,53010,53000,53000,#####################################################
53000,53000,53000,53000,53000,53000,53000,53000,53010,53000,#####################################################
53000,53000,53000,53000,53000,53000,53000,53000,53000,53010,#####################################################
54010,54000,54000,54000,54000,54000,54000,54000,54000,54000,######################################################
54000,54010,54000,54000,54000,54000,54000,54000,54000,54000,######################################################
54000,54000,54010,54000,54000,54000,54000,54000,54000,54000,######################################################
54000,54000,54000,54010,54000,54000,54000,54000,54000,54000,######################################################
54000,54000,54000,54000,54010,54000,54000,54000,54000,54000,######################################################
54000,54000,54000,54000,54000,54010,54000,54000,54000,54000,######################################################
54000,54000,54000,54000,54000,54000,54010,54000,54000,54000,######################################################
54000,54000,54000,54000,54000,54000,54000,54010,54000,54000,######################################################
54000,54000,54000,54000,54000,54000,54000,54000,54010,54000,######################################################
54000,54000,54000,54000,54000,54000,54000,54000,54000,54010,######################################################
55010,55000,55000,55000,55000,55000,55000,55000,55000,55000,#######################################################
55000,55010,55000,55000,55000,55000,55000,55000,55000,55000,#######################################################
55000,55000,55010,55000,55000,55000,55000,55000,55000,55000,#######################################################
55000,55000,55000,55010,55000,55000,55000,55000,55000,55000,#######################################################
55000,55000,55000,55000,55010,55000,55000,55000,55000,55000,#######################################################
55000,55000,55000,55000,55000,55010,55000,55000,55000,55000,#######################################################
55000,55000,55000,55000,55000,55000,55010,55000,55000,55000,#######################################################
55000,55000,55000,55000,55000,55000,55000,55010,55000,55000,#######################################################
55000,55000,55000,55000,55000,55000,55000,55000,55010,55000,#######################################################
55000,55000,55000,55000,55000,55000,55000,55000,55000,55010,#######################################################
56010,56000,56000,56000,56000,56000,56000,56000,56000,56000,########################################################
56000,56010,56000,56000,56000,56000,56000,56000,56000,56000,########################################################
56000,56000,56010,56000,56000,56000,56000,56000,56000,56000,########################################################
56000,56000,56000,56010,56000,56000,56000,56000,56000,56000,########################################################
56000,56000,56000,56000,56010,56000,56000,56000,56000,56000,########################################################
56000,56000,56000,56000,56000,56010,56000,56000,56000,56000,########################################################
56000,56000,56000,56000,56000,56000,56010,56000,56000,56000,########################################################
56000,56000,56000,56000,56000,56000,56000,56010,56000,56000,########################################################
56000,56000,56000,56000,56000,56000,56000,56000,56010,56000,########################################################
56000,56000,56000,56000,56000,56000,56000,56000,56000,56010,########################################################
57010,57000,57000,57000,57000,57000,57000,57000,57000,57000,#########################################################
57000,57010,57000,57000,57000,57000,57000,57000,57000,57000,#########################################################
57000,57000,57010,57000,57000,57000,57000,57000,57000,57000,#########################################################
57000,57000,57000,57010,57000,57000,57000,57000,57000,57000,#########################################################
57000,57000,57000,57000,57010,57000,57000,57000,57000,57000,#########################################################
57000,57000,57000,57000,57000,57010,57000,57000,57000,57000,#########################################################
57000,57000,57000,57000,57000,57000,57010,57000,57000,57000,#########################################################
57000,57000,57000,57000,57000,57000,57000,57010,57000,57000,#########################################################
57000,57000,57000,57000,57000,57000,57000,57000,57010,57000,#########################################################
57000,57000,57000,57000,57000,57000,57000,57000,57000,57010,#########################################################
58010,58000,58000,58000,58000,58000,58000,58000,58000,58000,##########################################################
58000,58010,58000,58000,58000,58000,58000,58000,58000,58000,##########################################################
58000,58000,58010,58000,58000,58000,58000,58000,58000,58000,##########################################################
58000,58000,58000,58010,58000,58000,58000,58000,58000,58000,##########################################################
58000,58000,58000,58000,58010,58000,58000,58000,58000,58000,##########################################################
58000,58000,58000,58000,58000,58010,58000,58000,58000,58000,##########################################################
58000,58000,58000,58000,58000,58000,58010,58000,58000,58000,##########################################################
58000,58000,58000,58000,58000,58000,58000,58010,58000,58000,##########################################################
58000,58000,58000,58000,58000,58000,58000,58000,58010,58000,##########################################################
58000,58000,58000,58000,58000,58000,58000,58000,58000,58010,##########################################################
59010,59000,59000,59000,59000,59000,59000,59000,59000,59000,###########################################################
59000,59010,59000,59000,59000,59000,59000,59000,59000,59000,###########################################################
59000,59000,59010,59000,59000,59000,59000,59000,59000,59000,###########################################################
59000,59000,59000,59010,59000,59000,59000,59000,59000,59000,###########################################################
59000,59000,59000,59000,59010,59000,59000,59000,59000,59000,###########################################################
59000,59000,59000,59000,59000,59010,59000,59000,59000,59000,###########################################################
59000,59000,59000,59000,59000,59000,59010,59000,59000,59000,###########################################################
59000,59000,59000,59000,59000,59000,59000,59010,59000,59000,###########################################################
59000,59000,59000,59000,59000,59000,59000,59000,59010,59000,###########################################################
59000,59000,59000,59000,59000,59000,59000,59000,59000,59010,###########################################################
60010,60000,60000,60000,60000,60000,60000,60000,60000,60000,############################################################
60000,60010,60000,60000,60000,60000,60000,60000,60000,60000,############################################################
60000,60000,60010,60000,60000,60000,60000,60000,60000,60000,############################################################
60000,60000,60000,60010,60000,60000,60000,60000,60000,60000,############################################################
60000,60000,60000,60000,60010,60000,60000,60000,60000,60000,############################################################
60000,60000,60000,60000,60000,60010,60000,60000,60000,60000,############################################################
60000,60000,60000,60000,60000,60000,60010,60000,60000,60000,############################################################
60000,60000,60000,60000,60000,60000,60000,60010,60000,60000,############################################################
60000,60000,60000,60000,60000,60000,60000,60000,60010,60000,############################################################
60000,60000,60000,60000,60000,60000,60000,60000,60000,60010,############################################################
61010,61000,61000,61000,61000,61000,61000,61000,61000,61000,#############################################################
61000,61010,61000,61000,61000,61000,61000,61000,61000,61000,#############################################################
61000,61000,61010,61000,61000,61000,61000,61000,61000,61000,#############################################################
61000,61000,61000,61010,61000,61000,61000,61000,61000,61000,#############################################################
61000,61000,61000,61000,61010,61000,61000,61000,61000,61000,#############################################################
61000,61000,61000,61000,61000,61010,61000,61000,61000,61000,#############################################################
61000,61000,61000,61000,61000,61000,61010,61000,61000,61000,#############################################################
61000,61000,61000,61000,61000,61000,61000,61010,61000,61000,#############################################################
61000,61000,61000,61000,61000,61000,61000,61000,61010,61000,#############################################################
61000,61000,61000,61000,61000,61000,61000,61000,61000,61010,#############################################################
62010,62000,62000,62000,62000,62000,62000,62000,62000,62000,##############################################################
62000,62010,62000,62000,62000,62000,62000,62000,62000,62000,##############################################################
62000,62000,62010,62000,62000,62000,62000,62000,62000,62000,##############################################################
62000,62000,62000,62010,62000,62000,62000,62000,62000,62000,##############################################################
62000,62000,62000,62000,62010,62000,62000,62000,62000,62000,##############################################################
62000,62000,62000,62000,62000,62010,62000,62000,62000,62000,##############################################################
62000,62000,62000,62000,62000,62000,62010,62000,62000,62000,##############################################################
62000,62000,62000,62000,62000,62000,62000,62010,62000,62000,##############################################################
62000,62000,62000,62000,62000,62000,62000,62000,62010,62000,##############################################################
62000,62000,62000,62000,62000,62000,62000,62000,62000,62010,##############################################################
63010,63000,63000,63000,63000,63000,63000,63000,63000,63000,###############################################################
63000,63010,63000,63000,63000,63000,63000,63000,63000,63000,###############################################################
63000,63000,63010,63000,63000,63000,63000,63000,63000,63000,###############################################################
63000,63000,63000,63010,63000,63000,63000,63000,63000,63000,###############################################################
63000,63000,63000,63000,63010,63000,63000,63000,63000,63000,###############################################################
63000,63000,63000,63000,63000,63010,63000,63000,63000,63000,###############################################################
63000,63000,63000,63000,63000,63000,63010,63000,63000,63000,###############################################################
63000,63000,63000,63000,63000,63000,63000,63010,63000,63000,###############################################################
63000,63000,63000,63000,63000,63000,63000,63000,63010,63000,###############################################################
63000,63000,63000,63000,63000,63000,63000,63000,63000,63010,###############################################################
64010,64000,64000,64000,64000,64000,64000,64000,64000,64000,################################################################
64000,64010,64000,64000,64000,64000,64000,64000,64000,64000,################################################################
64000,64000,64010,64000,64000,64000,64000,64000,64000,64000,################################################################
64000,64000,64000,64010,64000,64000,64000,64000,64000,64000,################################################################
64000,64000,64000,64000,64010,64000,64000,64000,64000,64000,################################################################
64000,64000,64000,64000,64000,64010,64000,64000,64000,64000,################################################################
64000,64000,64000,64000,64000,64000,64010,64000,64000,64000,################################################################
64000,64000,64000,64000,64000,64000,64000,64010,64000,64000,################################################################
64000,64000,64000,64000,64000,64000,64000,64000,64010,64000,################################################################
64000,64000,64000,64000,64000,64000,64000,64000,64000,64010,################################################################
65010,65000,65000,65000,65000,65000,65000,65000,65000,65000,#################################################################
65000,65010,65000,65000,65000,65000,65000,65000,65000,65000,#################################################################
65000,65000,65010,65000,65000,65000,65000,65000,65000,65000,#################################################################
65000,65000,65000,65010,65000,65000,65000,65000,65000,65000,#################################################################
65000,65000,65000,65000,65010,65000,65000,65000,65000,65000,#################################################################
65000,65000,65000,65000,65000,65010,65000,65000,65000,65000,#################################################################
65000,65000,65000,65000,65000,65000,65010,65000,65000,65000,#################################################################
65000,65000,65000,65000,65000,65000,65000,65010,65000,65000,#################################################################
65000,65000,65000,65000,65000,65000,65000,65000,65010,65000,#################################################################
65000,65000,65000,65000,65000,65000,65000,65000,65000,65010,#################################################################
66010,66000,66000,66000,66000,66000,66000,66000,66000,66000,##################################################################
66000,66010,66000,66000,66000,66000,66000,66000,66000,66000,##################################################################
66000,66000,66010,66000,66000,66000,66000,66000,66000,66000,##################################################################
66000,66000,66000,66010,66000,66000,66000,66000,66000,66000,##################################################################
66000,66000,66000,66000,66010,66000,66000,66000,66000,66000,##################################################################
66000,66000,66000,66000,66000,66010,66000,66000,66000,66000,##################################################################
66000,66000,66000,66000,66000,66000,66010,66000,66000,66000,##################################################################
66000,66000,66000,66000,66000,66000,66000,66010,66000,66000,##################################################################
66000,66000,66000,66000,66000,66000,66000,66000,66010,66000,##################################################################
66000,66000,66000,66000,66000,66000,66000,66000,66000,66010,##################################################################
67010,67000,67000,67000,67000,67000,67000,67000,67000,67000,###################################################################
67000,67010,67000,67000,67000,67000,67000,67000,67000,67000,###################################################################
67000,67000,67010,67000,67000,67000,67000,67000,67000,67000,###################################################################
67000,67000,67000,67010,67000,67000,67000,67000,67000,67000,###################################################################
67000,67000,67000,67000,67010,67000,67000,67000,67000,67000,###################################################################
67000,67000,67000,67000,67000,67010,67000,67000,67000,67000,###################################################################
67000,67000,67000,67000,67000,67000,67010,67000,67000,67000,###################################################################
67000,67000,67000,67000,67000,67000,67000,67010,67000,67000,###################################################################
67000,67000,67000,67000,67000,67000,67000,67000,67010,67000,###################################################################
67000,67000,67000,67000,67000,67000,67000,67000,67000,67010,###################################################################
68010,68000,68000,68000,68000,68000,68000,68000,68000,68000,####################################################################
68000,68010,68000,68000,68000,68000,68000,68000,68000,68000,####################################################################
68000,68000,68010,68000,68000,68000,68000,68000,68000,68000,####################################################################
68000,68000,68000,68010,68000,68000,68000,68000,68000,68000,####################################################################
68000,68000,68000,68000,68010,68000,68000,68000,68000,68000,####################################################################
68000,68000,68000,68000,68000,68010,68000,68000,68000,68000,####################################################################
68000,68000,68000,68000,68000,68000,68010,68000,68000,68000,####################################################################
68000,68000,68000,68000,68000,68000,68000,68010,68000,68000,####################################################################
68000,68000,68000,68000,68000,68000,68000,68000,68010,68000,####################################################################
68000,68000,68000,68000,68000,68000,68000,68000,68000,68010,####################################################################
69010,69000,69000,69000,69000,69000,69000,69000,69000,69000,#####################################################################
69000,69010,69000,69000,69000,69000,69000,69000,69000,69000,#####################################################################
69000,69000,69010,69000,69000,69000,69000,69000,69000,69000,#####################################################################
69000,69000,69000,69010,69000,69000,69000,69000,69000,69000,#####################################################################
69000,69000,69000,69000,69010,69000,69000,69000,69000,69000,#####################################################################
69000,69000,69000,69000,69000,69010,69000,69000,69000,69000,#####################################################################
69000,69000,69000,69000,69000,69000,69010,69000,69000,69000,#####################################################################
69000,69000,69000,69000,69000,69000,69000,69010,69000,69000,#####################################################################
69000,69000,69000,69000,69000,69000,69000,69000,69010,69000,#####################################################################
69000,69000,69000,69000,69000,69000,69000,69000,69000,69010,#####################################################################
70010,70000,70000,70000,70000,70000,70000,70000,70000,70000,######################################################################
70000,70010,70000,70000,70000,70000,70000,70000,70000,70000,######################################################################
70000,70000,70010,70000,70000,70000,70000,70000,70000,70000,######################################################################
70000,70000,70000,70010,70000,70000,70000,70000,70000,70000,######################################################################
70000,70000,70000,70000,70010,70000,70000,70000,70000,70000,######################################################################
70000,70000,70000,70000,70000,70010,70000,70000,70000,70000,######################################################################
70000,70000,70000,70000,70000,70000,70010,70000,70000,70000,######################################################################
70000,70000,70000,70000,70000,70000,70000,70010,70000,70000,######################################################################
70000,70000,70000,70000,70000,70000,70000,70000,70010,70000,######################################################################
70000,70000,70000,70000,70000,70000,70000,70000,70000,70010,######################################################################
71010,71000,71000,71000,71000,71000,71000,71000,71000,71000,#######################################################################
71000,71010,71000,71000,71000,71000,71000,71000,71000,71000,#######################################################################
71000,71000,71010,71000,71000,71000,71000,71000,71000,71000,#######################################################################
71000,71000,71000,71010,71000,71000,71000,71000,71000,71000,#######################################################################
71000,71000,71000,71000,71010,71000,71000,71000,71000,71000,#######################################################################
71000,71000,71000,71000,71000,71010,71000,71000,71000,71000,#######################################################################
71000,71000,71000,71000,71000,71000,71010,71000,71000,71000,#######################################################################
71000,71000,71000,71000,71000,71000,71000,71010,71000,71000,#######################################################################
71000,71000,71000,71000,71000,71000,71000,71000,71010,71000,#######################################################################
71000,71000,71000,71000,71000,71000,71000,71000,71000,71010,#######################################################################
72010,72000,72000,72000,72000,72000,72000,72000,72000,72000,########################################################################
72000,72010,72000,72000,72000,72000,72000,72000,72000,72000,########################################################################
72000,72000,72010,72000,72000,72000,72000,72000,72000,72000,########################################################################
72000,72000,72000,72010,72000,72000,72000,72000,72000,72000,########################################################################
72000,72000,72000,72000,72010,72000,72000,72000,72000,72000,########################################################################
72000,72000,72000,72000,72000,72010,72000,72000,72000,72000,########################################################################
72000,72000,72000,72000,72000,72000,72010,72000,72000,72000,########################################################################
72000,72000,72000,72000,72000,72000,72000,72010,72000,72000,########################################################################
72000,72000,72000,72000,72000,72000,72000,72000,72010,72000,########################################################################
72000,72000,72000,72000,72000,72000,72000,72000,72000,72010,########################################################################
73010,73000,73000,73000,73000,73000,73000,73000,73000,73000,#########################################################################
73000,73010,73000,73000,73000,73000,73000,73000,73000,73000,#########################################################################
73000,73000,73010,73000,73000,73000,73000,73000,73000,73000,#########################################################################
73000,73000,73000,73010,73000,73000,73000,73000,73000,73000,#########################################################################
73000,73000,73000,73000,73010,73000,73000,73000,73000,73000,#########################################################################
73000,73000,73000,73000,73000,73010,73000,73000,73000,73000,#########################################################################
73000,73000,73000,73000,73000,73000,73010,73000,73000,73000,#########################################################################
73000,73000,73000,73000,73000,73000,73000,73010,73000,73000,#########################################################################
73000,73000,73000,73000,73000,73000,73000,73000,73010,73000,#########################################################################
73000,73000,73000,73000,73000,73000,73000,73000,73000,73010,#########################################################################
74010,74000,74000,74000,74000,74000,74000,74000,74000,74000,##########################################################################
74000,74010,74000,74000,74000,74000,74000,74000,74000,74000,##########################################################################
74000,74000,74010,74000,74000,74000,74000,74000,74000,74000,##########################################################################
74000,74000,74000,74010,74000,74000,74000,74000,74000,74000,##########################################################################
74000,74000,74000,74000,74010,74000,74000,74000,74000,74000,##########################################################################
74000,74000,74000,74000,74000,74010,74000,74000,74000,74000,##########################################################################
74000,74000,74000,74000,74000,74000,74010,74000,74000,74000,##########################################################################
74000,74000,74000,74000,74000,74000,74000,74010,74000,74000,##########################################################################
74000,74000,74000,74000,74000,74000,74000,74000,74010,74000,##########################################################################
74000,74000,74000,74000,74000,74000,74000,74000,74000,74010,##########################################################################
75010,75000,75000,75000,75000,75000,75000,75000,75000,75000,###########################################################################
75000,75010,75000,75000,75000,75000,75000,75000,75000,75000,###########################################################################
75000,75000,75010,75000,75000,75000,75000,75000,75000,75000,###########################################################################
75000,75000,75000,75010,75000,75000,75000,75000,75000,75000,###########################################################################
75000,75000,75000,75000,75010,75000,75000,75000,75000,75000,###########################################################################
75000,75000,75000,75000,75000,75010,75000,75000,75000,75000,###########################################################################
75000,75000,75000,75000,75000,75000,75010,75000,75000,75000,###########################################################################
75000,75000,75000,75000,75000,75000,75000,75010,75000,75000,###########################################################################
75000,75000,75000,75000,75000,75000,75000,75000,75010,75000,###########################################################################
75000,75000,75000,75000,75000,75000,75000,75000,75000,75010,###########################################################################
76010,76000,76000,76000,76000,76000,76000,76000,76000,76000,############################################################################
76000,76010,76000,76000,76000,76000,76000,76000,76000,76000,############################################################################
76000,76000,76010,76000,76000,76000,76000,76000,76000,76000,############################################################################
76000,76000,76000,76010,76000,76000,76000,76000,76000,76000,############################################################################
76000,76000,76000,76000,76010,76000,76000,76000,76000,76000,############################################################################
76000,76000,76000,76000,76000,76010,76000,76000,76000,76000,############################################################################
76000,76000,76000,76000,76000,76000,76010,76000,76000,76000,############################################################################
76000,76000,76000,76000,76000,76000,76000,76010,76000,76000,############################################################################
